Ag  -2  6.00   0.0000     2.0678     Interp    
Ag  -2  12.00  0.0000     2.1555     Interp    
Pa  3   6.00   1.1800     1.0400     SP        
Pa  4   6.00   1.0400     0.9000     SP        
Pa  4   8.00   1.1500     1.0100     SP        
Pa  5   6.00   0.9200     0.7800     SP        
Pa  5   8.00   1.0500     0.9100     SP        
Pa  5   9.00   1.0900     0.9500     SP        
Xe  8   4.00   0.5400     0.4000     SP        
Xe  8   6.00   0.6200     0.4800     SP        
Ni  2   4.00   0.6900     0.5500     SP        
Ni  2   5.00   0.7700     0.6300     SP        
Ni  2   6.00   0.8300     0.6900     SP        
Ni  -2  8.00   0.0000     1.7022     0.0639337513389
Ni  -2  6.00   0.0000     1.6784     Interp    
Ni  -2  12.00  0.0000     1.7499     Interp    
F   -1  2.00   1.1450     1.2850     SP        
F   -1  3.00   1.1600     1.3000     SP        
F   -1  4.00   1.1700     1.3100     SP        
F   -1  6.00   1.1900     1.3300     SP        
Cl  -1  6.00   1.6700     1.8100     SP        
Cl  -1  2.00   0.0000     1.7602     0.0171590629978
Cl  -1  3.00   0.0000     1.7629     0.0201239975073
Cl  -1  4.00   0.0000     1.7709     0.000630106554062
Cl  -1  8.00   0.0000     1.8340     0.035470900208
Cl  -1  12.00  0.0000     1.8864     Interp    
Cl  7   4.00   0.2200     0.0800     SP        
Cl  7   6.00   0.4100     0.2700     SP        
Sn  4   4.00   0.6900     0.5500     SP        
Sn  4   5.00   0.7600     0.6200     SP        
Sn  4   6.00   0.8300     0.6900     SP        
Sn  4   7.00   0.8900     0.7500     SP        
Sn  4   8.00   0.9500     0.8100     SP        
Sn  -2  7.00   0.0000     2.3169     SP        
Sn  -2  8.00   0.0000     2.3738     SP        
Sn  -2  6.00   0.0000     2.2599     SP        
Sn  -2  12.00  0.0000     2.6015     SP        
B   3   3.00   0.1500     0.0100     SP        
B   3   4.00   0.2500     0.1100     SP        
B   3   6.00   0.4100     0.2700     SP        
Sr  2   6.00   1.3200     1.1800     SP        
Sr  2   7.00   1.3500     1.2100     SP        
Sr  2   8.00   1.4000     1.2600     SP        
Sr  2   9.00   1.4500     1.3100     SP        
Sr  2   10.00  1.5000     1.3600     SP        
Sr  2   12.00  1.5800     1.4400     SP        
Sr  2   4.00   0.0000     1.0840     SP        
Li  1   4.00   0.7300     0.5900     SP        
Li  1   6.00   0.9000     0.7600     SP        
Li  1   8.00   1.0600     0.9200     SP        
Na  1   4.00   1.1300     0.9900     SP        
Na  1   5.00   1.1400     1.0000     SP        
Na  1   6.00   1.1600     1.0200     SP        
Na  1   7.00   1.2600     1.1200     SP        
Na  1   8.00   1.3200     1.1800     SP        
Na  1   9.00   1.3800     1.2400     SP        
Na  1   12.00  1.5300     1.3900     SP        
Na  1   3.00   0.0000     0.9022     SP        
O   -2  2.00   1.2100     1.3500     SP        
O   -2  3.00   1.2200     1.3600     SP        
O   -2  4.00   1.2400     1.3800     SP        
O   -2  6.00   1.2600     1.4000     SP        
O   -2  8.00   1.2800     1.4200     SP        
O   -1  3.50   0.0000     1.3806     Merged    
O   -1  5.00   0.0000     1.2849     0.00759110656023
O   -1  6.00   0.0000     1.3664     0.0246131512054
O   -1  12.00  0.0000     1.2706     Interp    
D   1   2.00   0.0400     -0.1000    SP        
La  3   6.00   1.1720     1.0320     SP        
La  3   7.00   1.2400     1.1000     SP        
La  3   8.00   1.3000     1.1600     SP        
La  3   9.00   1.3560     1.2160     SP        
La  3   10.00  1.4100     1.2700     SP        
La  3   12.00  1.5000     1.3600     SP        
Rb  1   6.00   1.6600     1.5200     SP        
Rb  1   7.00   1.7000     1.5600     SP        
Rb  1   8.00   1.7500     1.6100     SP        
Rb  1   9.00   1.7700     1.6300     SP        
Rb  1   10.00  1.8000     1.6600     SP        
Rb  1   11.00  1.8300     1.6900     SP        
Rb  1   12.00  1.8600     1.7200     SP        
Rb  1   14.00  1.9700     1.8300     SP        
Rb  1   4.00   0.0000     1.4498     SP        
Fr  1   6.00   1.9400     1.8000     SP        
Rh  3   6.00   0.8050     0.6650     SP        
Rh  4   6.00   0.7400     0.6000     SP        
Rh  5   6.00   0.6900     0.5500     SP        
Tb  3   6.00   1.0630     0.9230     SP        
Tb  3   7.00   1.1200     0.9800     SP        
Tb  3   8.00   1.1800     1.0400     SP        
Tb  3   9.00   1.2350     1.0950     SP        
Tb  4   6.00   0.9000     0.7600     SP        
Tb  4   8.00   1.0200     0.8800     SP        
Ho  3   6.00   1.0410     0.9010     SP        
Ho  3   8.00   1.1550     1.0150     SP        
Ho  3   9.00   1.2120     1.0720     SP        
Ho  3   10.00  1.2600     1.1200     SP        
S   -2  6.00   1.7000     1.8400     SP        
S   -2  4.00   0.0000     1.8383     0.0283170543853
S   -2  8.00   0.0000     1.8665     0.0318376847106
S   -2  12.00  0.0000     1.8906     Interp    
S   4   6.00   0.5100     0.3700     SP        
S   6   4.00   0.2600     0.1200     SP        
S   6   6.00   0.4300     0.2900     SP        
S   -1  4.00   0.0000     1.8421     0.0123749278543
S   -1  6.00   0.0000     1.8646     0.0469590733867
S   -1  12.00  0.0000     1.9323     Interp    
Bi  3   5.00   1.1000     0.9600     SP        
Bi  3   6.00   1.1700     1.0300     SP        
Bi  3   8.00   1.3100     1.1700     SP        
Bi  5   6.00   0.9000     0.7600     SP        
Bi  -1  8.00   0.0000     2.2790     SP        
Bi  -1  6.00   0.0000     2.2471     SP        
Bi  -1  12.00  0.0000     2.3429     SP        
Si  4   4.00   0.4000     0.2600     SP        
Si  4   6.00   0.5400     0.4000     SP        
Si  2   6.00   0.8200     0.8200     SP        
Si  -2  7.50   0.0000     2.0605     SP        
Si  -2  6.00   0.0000     2.0389     SP        
Si  -2  12.00  0.0000     2.1254     SP        
At  7   6.00   0.7600     0.6200     SP        
Cm  3   6.00   1.1100     0.9700     SP        
Cm  4   6.00   0.9900     0.8500     SP        
Cm  4   8.00   1.0900     0.9500     SP        
Pu  3   6.00   1.1400     1.0000     SP        
Pu  4   6.00   1.0000     0.8600     SP        
Pu  4   8.00   1.1000     0.9600     SP        
Pu  5   6.00   0.8800     0.7400     SP        
Pu  6   6.00   0.8500     0.7100     SP        
Dy  2   6.00   1.2100     1.0700     SP        
Dy  2   7.00   1.2700     1.1300     SP        
Dy  2   8.00   1.3300     1.1900     SP        
Dy  3   6.00   1.0520     0.9120     SP        
Dy  3   7.00   1.1100     0.9700     SP        
Dy  3   8.00   1.1670     1.0270     SP        
Dy  3   9.00   1.2230     1.0830     SP        
